resource,model,condition,stratum,n_sites,RMSE,MAE,MASE,skill_vs_snaive
electricity,SARIMA,unweighted,all,4889,1092.1425,932.2384,0.9901,-0.04548
electricity,SARIMA,unweighted,boundary,421,860.1611,745.3309,0.9977,0.00737
electricity,SARIMA,unweighted,non_boundary,4468,1114.001,949.8499,0.9894,-0.05046
electricity,SARIMA,gat_weighted,all,4889,1094.5657,934.5461,1.0191,-0.0856
electricity,SARIMA,gat_weighted,boundary,421,888.3016,772.1298,1.3346,-0.45859
electricity,SARIMA,gat_weighted,non_boundary,4468,1114.001,949.8499,0.9894,-0.05046
electricity,SARIMA,random_control,all,4889,1529.4573,1373.1611,2.7768,-1.87236
electricity,SARIMA,random_control,boundary,421,1285.5542,1164.7065,5.3043,-4.78685
electricity,SARIMA,random_control,non_boundary,4468,1552.4392,1392.8029,2.5387,-1.59774
electricity,SARIMA,random_control_calibrated,all,4889,1267.3847,1109.9079,1.8046,-0.89525
electricity,SARIMA,random_control_calibrated,boundary,421,1012.47,892.3936,3.0617,-2.33231
electricity,SARIMA,random_control_calibrated,non_boundary,4468,1291.4042,1130.4033,1.6862,-0.75984
electricity,SARIMA,equal_weight_neighbour,all,4889,1094.2519,934.2337,1.0258,-0.09091
electricity,SARIMA,equal_weight_neighbour,boundary,421,884.6571,768.5014,1.4126,-0.52027
electricity,SARIMA,equal_weight_neighbour,non_boundary,4468,1114.001,949.8499,0.9894,-0.05046
electricity,xLSTM,unweighted,all,4889,1263.3871,1052.4616,1.132,-0.22334
electricity,xLSTM,unweighted,boundary,421,1116.433,927.8508,1.2283,-0.28834
electricity,xLSTM,unweighted,non_boundary,4468,1277.2339,1064.2032,1.1229,-0.21721
electricity,xLSTM,gat_weighted,all,4889,1265.4394,1054.4413,1.1605,-0.26291
electricity,xLSTM,gat_weighted,boundary,421,1140.2665,950.8401,1.5598,-0.74781
electricity,xLSTM,gat_weighted,non_boundary,4468,1277.2339,1064.2032,1.1229,-0.21721
electricity,xLSTM,random_control,all,4889,1607.4848,1368.6931,2.8251,-1.98872
electricity,xLSTM,random_control,boundary,421,1501.6627,1315.5766,5.4679,-5.00611
electricity,xLSTM,random_control,non_boundary,4468,1617.4559,1373.698,2.5761,-1.70441
electricity,xLSTM,random_control_calibrated,all,4889,1384.1605,1152.6403,1.9072,-1.05198
electricity,xLSTM,random_control_calibrated,boundary,421,1256.8979,1068.563,3.2831,-2.60263
electricity,xLSTM,random_control_calibrated,non_boundary,4468,1396.1519,1160.5625,1.7775,-0.90587
electricity,xLSTM,equal_weight_neighbour,all,4889,1265.1508,1054.1566,1.1671,-0.26816
electricity,xLSTM,equal_weight_neighbour,boundary,421,1136.915,947.5342,1.6363,-0.80879
electricity,xLSTM,equal_weight_neighbour,non_boundary,4468,1277.2339,1064.2032,1.1229,-0.21721
electricity,TimesFM,unweighted,all,4889,1111.1267,936.4789,0.9606,-0.02737
electricity,TimesFM,unweighted,boundary,421,882.7621,757.5316,0.9678,-0.00259
electricity,TimesFM,unweighted,non_boundary,4468,1132.6445,953.3404,0.96,-0.02971
electricity,TimesFM,gat_weighted,all,4889,1113.6844,939.0739,0.9904,-0.06778
electricity,TimesFM,gat_weighted,boundary,421,912.464,787.6669,1.3133,-0.47191
electricity,TimesFM,gat_weighted,non_boundary,4468,1132.6445,953.3404,0.96,-0.02971
electricity,TimesFM,random_control,all,4889,1540.1273,1389.2637,2.7277,-1.80804
electricity,TimesFM,random_control,boundary,421,1306.6458,1184.8962,5.2456,-4.74105
electricity,TimesFM,random_control,non_boundary,4468,1562.1273,1408.5204,2.4904,-1.53167
electricity,TimesFM,random_control_calibrated,all,4889,1285.9682,1126.72,1.7767,-0.85764
electricity,TimesFM,random_control_calibrated,boundary,421,1042.4596,918.7273,3.0435,-2.33283
electricity,TimesFM,random_control_calibrated,non_boundary,4468,1308.913,1146.3182,1.6574,-0.71863
electricity,TimesFM,equal_weight_neighbour,all,4889,1113.3565,938.7391,0.9969,-0.07301
electricity,TimesFM,equal_weight_neighbour,boundary,421,908.6564,783.7789,1.389,-0.53265
electricity,TimesFM,equal_weight_neighbour,non_boundary,4468,1132.6445,953.3404,0.96,-0.02971
electricity,Nexus,unweighted,all,4889,1016.6314,857.5076,0.8701,0.04398
electricity,Nexus,unweighted,boundary,421,852.5963,728.6603,0.9048,0.04544
electricity,Nexus,unweighted,non_boundary,4468,1032.0878,869.6483,0.8668,0.04384
electricity,Nexus,gat_weighted,all,4889,1019.2952,860.0937,0.9001,0.00333
electricity,Nexus,gat_weighted,boundary,421,883.5298,758.6927,1.253,-0.42665
electricity,Nexus,gat_weighted,non_boundary,4468,1032.0878,869.6483,0.8668,0.04384
electricity,Nexus,random_control,all,4889,1491.6256,1347.1417,2.7132,-1.80916
electricity,Nexus,random_control,boundary,421,1298.4942,1178.6502,5.2523,-4.75198
electricity,Nexus,random_control,non_boundary,4468,1509.8235,1363.0179,2.474,-1.53188
electricity,Nexus,random_control_calibrated,all,4889,1218.3729,1064.3947,1.7305,-0.8344
electricity,Nexus,random_control_calibrated,boundary,421,1025.2295,901.7128,3.0247,-2.32555
electricity,Nexus,random_control_calibrated,non_boundary,4468,1236.572,1079.7235,1.6086,-0.6939
electricity,Nexus,equal_weight_neighbour,all,4889,1018.9582,859.7716,0.9066,-0.0019
electricity,Nexus,equal_weight_neighbour,boundary,421,879.6162,754.9522,1.3294,-0.48739
electricity,Nexus,equal_weight_neighbour,non_boundary,4468,1032.0878,869.6483,0.8668,0.04384
carbon,SARIMA,unweighted,all,4889,30.7378,25.7762,0.8567,-0.21585
carbon,SARIMA,unweighted,boundary,421,33.364,27.6954,0.8976,-0.24966
carbon,SARIMA,unweighted,non_boundary,4468,30.4904,25.5954,0.8528,-0.21266
carbon,SARIMA,gat_weighted,all,4889,30.7285,25.767,0.8563,-0.21441
