resource,model,n_boundary_regions,unweighted,gat_weighted,mean_diff,raw_p,fdr_p,verdict
electricity,SARIMA,51,677.7157,734.5451,56.8294,0.17409820745475224,0.232130943273003,no significant difference
electricity,xLSTM,51,810.3246,860.9637,50.6392,0.38849002147132705,0.4661880257655925,no significant difference
electricity,TimesFM,51,664.3297,720.7652,56.4355,0.09337627437220898,0.19799627380043017,no significant difference
electricity,Nexus,51,631.526,689.482,57.956,0.058299339416412216,0.19799627380043017,no significant difference
carbon,SARIMA,51,36.8519,37.0043,0.1525,0.47044392221875886,0.47044392221875886,no significant difference
carbon,xLSTM,51,40.7379,40.7637,0.0258,0.47044392221875886,0.47044392221875886,no significant difference
carbon,TimesFM,51,34.9245,34.5444,-0.3801,0.09899813690021508,0.19799627380043017,no significant difference
carbon,Nexus,51,32.6318,32.4738,-0.1581,0.13367795585698114,0.21435928344726562,no significant difference
water,SARIMA,20,36.339,36.0648,-0.2742,0.039989471435546875,0.19799627380043017,no significant difference
water,xLSTM,20,54.1316,53.8938,-0.2378,0.069580078125,0.19799627380043017,no significant difference
water,TimesFM,20,45.8078,45.6968,-0.1111,0.14290618896484375,0.21435928344726562,no significant difference
water,Nexus,20,42.2535,42.0524,-0.2011,0.069580078125,0.19799627380043017,no significant difference
