site_id,assign_km,g3p_basin
0,823.5140026578547,Loire
6,981.7037828080424,Colorado River (Pacific Ocean)
7,507.8234207554929,Loire
10,507.8234207554929,Loire
11,512.2875167156623,St.Lawrence
19,659.3796359000892,Mississippi River
20,579.1862885091508,St.Lawrence
22,512.2140167157645,Loire
23,769.0278621575654,Mississippi River
24,763.539413746442,Mississippi River
25,629.8015833329852,Colorado River (Pacific Ocean)
26,509.8017571123473,St.Lawrence
29,987.9346803876109,Colorado River (Pacific Ocean)
30,778.7413436444692,Mississippi River
31,987.9346803876109,Colorado River (Pacific Ocean)
33,844.1829525298755,Columbia River
34,593.3636662213252,St.Lawrence
35,593.3636662213252,St.Lawrence
36,593.3636662213252,St.Lawrence
37,591.5741496905728,St.Lawrence
38,877.8390539397433,Mississippi River
41,891.4816490483098,Mississippi River
42,1020.7750283481491,Mississippi River
44,778.7413436444692,Mississippi River
45,1643.7675512950964,Grisalva
46,676.91998471122,Colorado River (Pacific Ocean)
48,675.0331808029855,Colorado River (Pacific Ocean)
51,987.9346803876109,Colorado River (Pacific Ocean)
55,672.9897683822762,Colorado River (Pacific Ocean)
56,672.9897683822762,Colorado River (Pacific Ocean)
59,1020.7750283481491,Mississippi River
60,509.73679307759573,St.Lawrence
62,605.299788966755,St.Lawrence
65,992.1071588468754,Columbia River
66,659.3796359000892,Mississippi River
67,987.9346803876109,Colorado River (Pacific Ocean)
69,605.2733560617932,St.Lawrence
70,992.1071588468754,Columbia River
71,659.3796359000892,Mississippi River
72,651.1077557886788,Mississippi River
76,981.7037828080424,Colorado River (Pacific Ocean)
77,671.4009531987037,Colorado River (Pacific Ocean)
78,987.9346803876109,Colorado River (Pacific Ocean)
79,877.7222526597202,Mississippi River
80,802.6463750932818,St.Lawrence
85,987.9346803876109,Colorado River (Pacific Ocean)
86,734.0866941782187,St.Lawrence
88,589.0453102900846,St.Lawrence
89,589.0453102900846,St.Lawrence
91,674.8101451254358,Colorado River (Pacific Ocean)
92,987.9346803876109,Colorado River (Pacific Ocean)
93,675.0829543876653,Colorado River (Pacific Ocean)
94,806.8676426243404,St.Lawrence
95,849.3701975768821,Mississippi River
96,778.7413436444692,Mississippi River
97,1020.7750283481491,Mississippi River
98,643.2633538998849,Mississippi River
