site_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,site_attention_received
0,-0.75276965,-0.9210946,0.57555324,1.9978515,-1.0374838,0.26430982,-0.5688859,-1.4498359,0.02857142
2,-0.0051081553,-0.17325805,-0.21364261,0.30060205,0.84783024,-0.5166741,-0.9211187,0.73182154,0.11111113
4,0.6272172,-0.33166906,0.21338858,-0.08785178,-2.363326,-0.3430525,1.6201404,-1.5240117,0.071428575
6,0.69102156,-0.606375,-0.02234824,0.4428991,-1.3312173,-1.2282574,0.44690195,-0.4171963,0.029411763
7,-0.07952945,-0.67042536,0.45349222,1.20866,-0.9256979,-0.29501474,-0.10102319,-0.6956786,0.009900996
9,-0.017445214,-0.67730737,0.43563694,1.1740535,-0.9693948,-0.3763643,-0.06361572,-0.6723354,0.08333332
10,-0.081713945,-0.6706113,0.45495862,1.2109846,-0.9245684,-0.29218352,-0.102285884,-0.6964942,0.0101010045
11,0.29345042,0.04677049,0.33930993,0.1250157,1.23386,-0.36673307,-0.7198157,1.4963597,0.04166667
13,-0.050434418,-0.60052663,0.29081744,1.0083349,-0.8642151,-0.33310664,-0.08644802,-0.6746094,0.090909086
18,-0.79659164,-0.54505056,-0.88835335,0.516767,-2.1920333,0.5096717,0.56189424,-3.1444364,0.09090909
19,-0.050651148,-0.6679791,0.50529987,1.2710124,-0.6199434,-0.38920796,-0.31363612,-0.356074,0.015384625
20,0.6377678,-0.036020122,-0.95379007,-0.58752185,0.586155,-1.3916382,-0.4520249,0.90270686,0.09090909
22,-0.15672351,-0.60041636,0.3419691,1.0951211,-0.7998935,-0.19562937,-0.1503128,-0.7145146,0.066666655
23,-0.3138945,0.22326088,0.10354698,-0.05035848,1.0222456,0.5292878,-0.5576406,0.49859935,0.049999997
24,-0.42740607,0.31318808,-0.03268081,-0.1908421,1.196421,0.6768513,-0.6312445,0.46907794,0.083333336
25,-0.33108854,-0.2871747,1.7024606,1.5208112,0.9394884,0.71034884,-0.8936792,0.93112373,0.11111111
26,0.4015805,-0.0092453705,0.33466876,0.1458631,1.0871845,-0.53834474,-0.65281487,1.4912866,0.06666666
27,0.89385307,0.026204115,-1.0673093,-0.9325991,0.08998766,-1.5135849,0.07090094,0.62532,0.11111111
28,-0.88054127,0.9986713,-0.0090402365,-1.3376088,-0.35859448,2.5463102,1.2544982,-1.7034348,0.013888877
