site_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,site_attention_received
0,-0.10490547,-0.34200892,0.5395821,0.6960031,0.012935534,0.15104753,-0.39135206,-0.25166637,0.055555556
2,0.6544956,-0.36692983,0.21187347,-0.12805244,0.26739496,-0.4513963,-0.40072817,0.3296089,0.1
4,0.14570668,0.11877993,-0.29425085,-0.23780084,-0.29903156,0.6822211,0.25323808,-0.19897945,0.052631576
6,0.3268544,-0.26114088,0.31920907,0.45687795,-0.1874801,-0.20757651,0.061583757,-0.27232388,0.083333336
7,0.25686184,-0.22818527,0.07536823,0.20310658,-0.17879574,0.052259594,0.05594544,-0.44083062,0.07692308
9,-0.037956536,-0.12978062,-0.024524644,0.26669064,-0.094042465,0.17051075,-0.0718725,-0.48924384,0.07692308
10,0.047862038,0.013708788,0.23345402,0.13953023,0.09141147,0.2411358,-0.026207857,-0.04652213,0.040000007
11,0.029860705,-0.12794515,0.29954803,0.09613143,0.24358839,0.27248836,-0.39126408,0.21817036,0.07692308
13,0.40158406,-0.042806674,0.16688217,-0.040692635,-0.13535057,0.19234164,0.07465248,0.3114855,0.111111104
18,0.042085834,-0.22776534,-0.12940349,0.22222137,0.08344799,-0.24118704,-0.18814889,-0.77903044,0.07142857
19,-0.035582,-0.16965665,0.6233668,0.7558111,-0.1628903,0.024539113,0.1335662,-0.46278688,0.12500001
20,0.6719269,0.013774705,-0.14974673,-0.502411,0.14752853,-0.27632374,0.24744533,-0.12163438,0.055555563
22,0.05973067,0.12227115,0.6179841,0.13591793,0.49580592,-0.033671126,-0.060791463,0.2577456,0.06666666
23,0.21091706,-0.029558808,0.034688182,-0.2623765,0.37245932,0.08289748,-0.32240272,0.31163928,0.090909086
24,0.20799801,-0.29790762,0.26020423,0.027994879,0.3358674,-0.0034683347,-0.56255573,0.098226056,0.06249999
25,-0.336528,-0.019429622,0.93231106,0.59876907,0.6849331,0.017442688,-0.438466,-0.111695126,0.06250001
26,0.20745507,-0.01962564,-0.0063290745,-0.34111163,0.106054276,0.5646922,-0.23998855,0.3126751,0.0909091
27,0.56811917,0.1237216,0.29773456,-0.23590288,0.30911988,-0.36906347,0.32103407,0.1491174,0.052631572
28,-0.3341904,0.4123114,0.12454976,-0.20403692,0.51270986,0.62439835,-0.012087174,0.00070544705,0.055555556
29,0.50191116,-0.47774932,0.07902422,0.32390675,-0.44955927,-0.07578333,-0.013782382,-0.44891033,0.052631576
30,-0.06978001,-0.01830766,0.22768225,0.16472524,0.06620513,0.44405934,-0.15980422,0.045108467,0.055555563
31,0.54943484,-0.1511468,0.2790807,0.14740753,-0.18899016,-0.16443816,0.2402903,0.037608773,0.05
32,0.16270927,0.21561143,-0.03906052,-0.39463985,0.3848809,0.2112583,-0.026671454,0.2793095,0.0909091
33,0.31158164,0.09286071,-0.083375484,-0.42097604,0.09708948,0.37677902,0.012864336,0.30720234,0.07142857
34,0.74093115,-0.100314334,0.010607421,-0.22881794,-0.06850231,-0.34176147,0.26393092,-0.016259503,0.055555556
35,0.52369314,-0.15991184,0.3246028,0.16151693,-0.29768145,0.06240868,0.20617546,0.21320756,0.0625
36,0.62121534,-0.15993793,0.20862263,-0.07528106,0.28687057,-0.6176428,-0.018061928,-0.069908455,0.09090909
37,0.23863968,0.050485667,0.01119338,-0.15969592,0.3982083,-0.33909562,-0.027252361,-0.23376898,0.06666667
38,0.48590246,0.11094485,0.022836916,-0.25789165,0.18273535,-0.29381746,0.2477278,0.047525752,0.041666668
39,0.3383148,-0.1285395,0.5368703,0.2112107,0.16393182,-0.11825472,-0.029829577,0.12225917,0.071428575
40,-0.59513044,0.44333285,-0.511245,-0.09899821,-0.10951699,1.0200591,0.3390566,-0.9331634,0.0625
41,0.46181718,0.18879119,-0.13458912,-0.30909523,0.084123835,-0.25358975,0.46944278,-0.2575921,0.0625
42,0.15797806,0.04000919,0.28114522,0.00103084,0.416511,-0.13510267,-0.13909064,0.09404809,0.06666667
43,0.44323197,-0.34989578,0.250911,0.0167,-0.015686229,0.10256371,-0.34773046,0.28682357,0.083333336
44,0.06106729,-0.18578495,0.26807737,0.019552015,0.27411819,0.3743273,-0.5713736,0.35594082,0.071428575
45,0.3125499,-0.28247797,0.0044954345,-0.009200029,-0.07190697,0.2053088,-0.27647603,-0.10003482,0.09090909
46,-0.3263433,0.26169217,0.6089579,0.22617707,0.5041822,0.44827873,-0.13018575,0.15401688,0.0625
47,-0.0004969761,0.40420508,0.4551503,0.12978244,0.21459566,0.16665304,0.4780844,0.017442994,0.07692307
48,0.0006207153,-0.17158094,0.53182775,0.22860777,0.39640725,0.16581044,-0.5596636,0.3013655,0.071428575
49,-0.30964088,0.71159434,0.73310626,0.012836002,1.0049732,0.053215325,0.37042177,-0.1149403,0.11111111
50,-0.30624533,0.078094915,0.054898724,0.3028434,-0.16774665,0.7228051,0.12705101,-0.4978362,0.08333333
51,1.2321296,-0.38227966,0.38052177,-0.048473693,-0.35354853,-0.6444114,0.4085973,0.24985348,0.07692307
52,-0.14188144,0.39422345,-0.16779573,-0.30909234,0.22025278,0.5748047,0.23248978,-0.14714642,0.08333332
53,-0.28506863,0.26517773,0.0042634085,-0.0777993,0.17574964,0.7640091,0.021371946,-0.1425495,0.055555556
54,-0.2119287,0.36196932,0.090847984,-0.044687994,0.066354565,0.72416747,0.35684645,-0.19389589,0.06666666
55,-0.33982632,-0.08903988,0.075493544,0.070676595,0.16853602,0.86567914,-0.5063082,-0.2585043,0.06666668
56,-0.2783943,-0.013044873,-0.126536,0.06140329,-0.022386342,0.76334625,-0.25656617,-0.2986644,0.071428575
58,-0.45207146,0.1757795,-0.44223362,-0.24968496,0.008791685,1.0973939,-0.17207673,-0.48283836,0.05555555
59,-0.26719332,0.30274963,0.4475569,0.13459092,0.48578078,0.26685792,0.005693309,-0.14506193,0.11111111
60,-0.027202114,0.037913337,0.24007761,-0.0027984679,0.14012787,0.5361067,-0.1332879,0.14325711,0.04166667
62,-0.1460606,-0.05326,0.21357329,0.15693307,0.43855977,0.060307063,-0.35062587,-0.21275161,0.08333334
63,-0.42270988,0.22121808,0.1163822,0.20397931,0.025733918,0.7926941,0.11546464,-0.5261961,0.090909086
