resource,region,model,RMSE
electricity,AUT,Nexus,418.89934884936355
electricity,AUT,SARIMA,708.3636384716317
electricity,AUT,TimesFM,423.902955827546
electricity,AUT,xLSTM,511.65636161446747
electricity,BEL,Nexus,616.8031672356365
electricity,BEL,SARIMA,507.15302089433885
electricity,BEL,TimesFM,717.3515481630928
electricity,BEL,xLSTM,1116.376518350147
electricity,BGR,Nexus,316.6448983818298
electricity,BGR,SARIMA,222.96143258661786
electricity,BGR,TimesFM,445.33369716901353
electricity,BGR,xLSTM,357.6893934257854
electricity,BIH,Nexus,124.72012067812769
electricity,BIH,SARIMA,117.24933736903132
electricity,BIH,TimesFM,119.47709686565857
electricity,BIH,xLSTM,184.37794512195674
electricity,CHE,Nexus,474.9875226575484
electricity,CHE,SARIMA,1241.804387361759
electricity,CHE,TimesFM,505.7335556733257
electricity,CHE,xLSTM,827.9291449866155
electricity,CYP,Nexus,24.445087868766464
electricity,CYP,SARIMA,26.737876349615295
electricity,CYP,TimesFM,29.86140282724009
electricity,CYP,xLSTM,66.6188974534138
electricity,CZE,Nexus,390.99900128451145
electricity,CZE,SARIMA,324.4921614517796
electricity,CZE,TimesFM,505.26706147384164
electricity,CZE,xLSTM,449.1963394662721
electricity,DEU,Nexus,2577.4949103864164
electricity,DEU,SARIMA,4049.8650156240024
electricity,DEU,TimesFM,2370.711593637041
electricity,DEU,xLSTM,4555.251572752877
electricity,DNK,Nexus,353.90074671120453
electricity,DNK,SARIMA,554.9906062051218
electricity,DNK,TimesFM,294.7237202631824
electricity,DNK,xLSTM,256.7967208140486
electricity,ESP,Nexus,925.8116758892231
electricity,ESP,SARIMA,1051.9431011827933
electricity,ESP,TimesFM,965.0810962642071
electricity,ESP,xLSTM,1547.480997877752
electricity,EST,Nexus,168.0041148064552
electricity,EST,SARIMA,154.59451207268003
electricity,EST,TimesFM,126.91565469145415
electricity,EST,xLSTM,172.6767402198236
electricity,FIN,Nexus,496.777815940677
electricity,FIN,SARIMA,434.07304992845735
electricity,FIN,TimesFM,456.63188001251217
electricity,FIN,xLSTM,615.7406679202961
electricity,FRA,Nexus,3533.391804431452
electricity,FRA,SARIMA,1882.16513005971
electricity,FRA,TimesFM,3546.0685069119704
electricity,FRA,xLSTM,3162.3751459855966
electricity,GBR,Nexus,1444.579427055019
electricity,GBR,SARIMA,1828.308650501645
electricity,GBR,TimesFM,1478.9646766436647
electricity,GBR,xLSTM,1343.378342699671
electricity,GRC,Nexus,608.2692432026639
electricity,GRC,SARIMA,365.8342606134562
electricity,GRC,TimesFM,487.59030928334766
electricity,GRC,xLSTM,713.7628376900459
electricity,HRV,Nexus,196.3456340436925
electricity,HRV,SARIMA,217.72393380451356
electricity,HRV,TimesFM,214.8475251730307
electricity,HRV,xLSTM,237.97070316247158
electricity,HUN,Nexus,157.49714951468155
electricity,HUN,SARIMA,181.34408662551812
electricity,HUN,TimesFM,163.5966565416512
electricity,HUN,xLSTM,438.1356790842087
electricity,IND|delhi,Nexus,134.1560149015128
electricity,IND|delhi,SARIMA,147.51898045520576
electricity,IND|delhi,TimesFM,132.69063113276198
electricity,IND|delhi,xLSTM,199.91011593477432
electricity,IND|gujarat,Nexus,2476.906576480732
electricity,IND|gujarat,SARIMA,2290.8394888178427
electricity,IND|gujarat,TimesFM,2078.286420327173
electricity,IND|gujarat,xLSTM,2339.869884262191
electricity,IND|karnataka,Nexus,942.3832124784523
electricity,IND|karnataka,SARIMA,748.1968633042248
electricity,IND|karnataka,TimesFM,999.9994337553643
electricity,IND|karnataka,xLSTM,1196.0137118720395
electricity,IND|kerala,Nexus,385.5034063439427
electricity,IND|kerala,SARIMA,435.72399282744834
electricity,IND|kerala,TimesFM,430.2667442173235
electricity,IND|kerala,xLSTM,402.4270980028977
electricity,IND|maharashtra,Nexus,674.1637174652633
electricity,IND|maharashtra,SARIMA,1035.2384153257044
electricity,IND|maharashtra,TimesFM,748.5209984330149
electricity,IND|maharashtra,xLSTM,814.912852779788
electricity,IND|odisha,Nexus,395.4466659662455
electricity,IND|odisha,SARIMA,494.8399409182869
electricity,IND|odisha,TimesFM,488.0130867858219
