region_id,resource,fold,train_end,n_train,rmse,mape
AUT,electricity,0,2018-12-01,48,488.542711498436,6.835150630741503
AUT,electricity,1,2019-12-01,60,338.0778596624919,5.2632041336651225
AUT,electricity,2,2020-12-01,72,491.6800814516244,8.609014586284635
AUT,electricity,3,2021-12-01,84,472.30371916234344,7.952710273868114
AUT,electricity,4,2022-12-01,96,531.3873236461224,7.6163318590353954
AUT,electricity,5,2023-12-01,108,975.5853443306991,13.949053736320804
AUT,electricity,6,2024-12-01,120,474.42470874185585,7.53692402591539
BEL,electricity,0,2018-12-01,48,964.5828068557182,10.882301524692583
BEL,electricity,1,2019-12-01,60,571.3219525235725,6.597928561527436
BEL,electricity,2,2020-12-01,72,1248.363707829768,14.07223135050543
BEL,electricity,3,2021-12-01,84,694.5226689930233,7.165951985918503
BEL,electricity,4,2022-12-01,96,998.9142820547343,14.245114280709375
BEL,electricity,5,2023-12-01,108,1158.8954301250267,18.324602446358597
BEL,electricity,6,2024-12-01,120,961.2034033542309,15.983236838427887
BGR,electricity,0,2018-12-01,48,381.5613565207967,8.692887617618183
BGR,electricity,1,2019-12-01,60,577.0506203297774,14.457162596637643
BGR,electricity,2,2020-12-01,72,541.436024680568,10.111999812850724
BGR,electricity,3,2021-12-01,84,736.137316549911,13.427332957336802
BGR,electricity,4,2022-12-01,96,690.6470635948261,19.925761486105817
BGR,electricity,5,2023-12-01,108,733.2374350980175,22.540919578810996
BGR,electricity,6,2024-12-01,120,374.9458014748327,9.73909340126154
BIH,electricity,0,2022-12-01,48,136.04888343482457,10.420154968833577
BIH,electricity,1,2023-12-01,60,217.51145567020222,20.60586861471501
BIH,electricity,2,2024-12-01,72,314.5098443587943,32.145037292230896
CHE,electricity,0,2020-12-01,48,842.3118438196535,14.107218594239566
CHE,electricity,1,2021-12-01,60,597.5716633468625,10.158004069923887
CHE,electricity,2,2022-12-01,72,747.2171978784341,9.286056528749194
CHE,electricity,3,2023-12-01,84,1410.4849866967916,13.305558015865143
CHE,electricity,4,2024-12-01,96,710.6252474888481,10.865884131903602
CYP,electricity,0,2020-12-01,48,89.197205742777,12.149242111403751
CYP,electricity,1,2021-12-01,60,49.65100119813342,7.4843425503111085
CYP,electricity,2,2022-12-01,72,40.56692934963869,5.085429097289149
CYP,electricity,3,2023-12-01,84,81.81208979023576,9.093874108226057
CYP,electricity,4,2024-12-01,96,109.17640378681024,12.110450597428102
CZE,electricity,0,2018-12-01,48,665.0587475264091,8.606691393804512
CZE,electricity,1,2019-12-01,60,777.0735322442492,11.112014433849378
CZE,electricity,2,2020-12-01,72,401.793036677885,5.328552548117957
CZE,electricity,3,2021-12-01,84,537.3872384135834,6.522286081613794
CZE,electricity,4,2022-12-01,96,628.0260849789686,9.934802936354222
CZE,electricity,5,2023-12-01,108,1092.2617668616326,15.49055538736312
CZE,electricity,6,2024-12-01,120,537.3656860304318,8.097608118264992
DEU,electricity,0,2018-12-01,48,3244.871091264957,6.223559602291781
DEU,electricity,1,2019-12-01,60,6152.020558906287,12.153630406392752
DEU,electricity,2,2020-12-01,72,4168.523764955906,7.860963612567402
DEU,electricity,3,2021-12-01,84,4587.866474981685,9.425313885791423
DEU,electricity,4,2022-12-01,96,6142.818718551988,14.290738842756548
DEU,electricity,5,2023-12-01,108,5826.843306521762,13.699009868502532
DEU,electricity,6,2024-12-01,120,3333.1594496920643,7.042779076438236
DNK,electricity,0,2018-12-01,48,304.04773399870163,11.49493433697024
DNK,electricity,1,2019-12-01,60,271.06218146980336,11.096619399787977
DNK,electricity,2,2020-12-01,72,393.9407009563324,12.39799384135814
DNK,electricity,3,2021-12-01,84,414.02361700107053,11.489117975181701
DNK,electricity,4,2022-12-01,96,249.24041587260146,8.031274364562746
DNK,electricity,5,2023-12-01,108,249.08592322258522,6.36882132202118
DNK,electricity,6,2024-12-01,120,344.4894215023716,9.296004731982299
ESP,electricity,0,2018-12-01,48,1341.513997099069,5.3380278364669875
ESP,electricity,1,2019-12-01,60,1987.9584627199458,8.77109541810435
ESP,electricity,2,2020-12-01,72,1422.7876693986666,5.6019806851639675
ESP,electricity,3,2021-12-01,84,2081.8098999423955,6.685640869502725
ESP,electricity,4,2022-12-01,96,1143.5049097173624,4.818080990832977
ESP,electricity,5,2023-12-01,108,1079.6867346166734,3.747845776065749
ESP,electricity,6,2024-12-01,120,1528.4731813787523,5.507035993313089
EST,electricity,0,2018-12-01,48,415.9152218199869,99.0491718068581
EST,electricity,1,2019-12-01,60,279.00758869002146,78.68755143635767
EST,electricity,2,2020-12-01,72,154.33060566467358,21.891383432385243
EST,electricity,3,2021-12-01,84,149.00663968103873,23.6777963149822
EST,electricity,4,2022-12-01,96,238.30489384313805,63.37925573908802
EST,electricity,5,2023-12-01,108,66.59438521034615,14.8200339789245
EST,electricity,6,2024-12-01,120,87.48512225494373,22.019159994611545
